[1/1/2018 20:29:16] /goto roshabaal
[1/1/2018 20:29:22] /goto orshabaal
[1/1/2018 20:31:14] /i 2268
[1/1/2018 20:32:17] /town carlin
[1/1/2018 22:29:31] /town thais
[1/1/2018 22:30:26] /town venore
[1/1/2018 22:31:21] /town carlin
[1/1/2018 22:34:6] /town veore
[1/1/2018 22:34:10] /town venore
[1/1/2018 22:37:54] /goto eva
[1/1/2018 22:38:11] /goto venore
[1/1/2018 22:38:15] /goto venore
[1/1/2018 22:38:20] /town venore
[1/1/2018 22:39:36] /town carlin
[1/1/2018 22:40:24] /town thais
[1/1/2018 22:43:4] /town thais
[1/1/2018 22:43:9] /town carlin
[1/1/2018 22:46:55] /i crown
[1/1/2018 22:48:21] /light
[1/1/2018 23:18:17] /ghost
[1/1/2018 23:18:20] /ghost
[1/1/2018 23:28:57] /m training monk
[1/1/2018 23:29:3] /goto training monk
[1/1/2018 23:29:20] /goto training monk
[1/1/2018 23:29:26] /town thais
[1/1/2018 23:29:54] /goto training monk
[1/1/2018 23:30:4] /m training monk
[1/1/2018 23:32:25] /shutdown 10
[1/1/2018 23:32:27] /shutdown 14
[1/1/2018 23:32:29] /shutdown 13
[1/1/2018 23:32:34] /shutdown 12
[1/1/2018 23:32:42] /shutdown 10
[1/1/2018 23:32:51] /shutdown 10
[1/1/2018 23:33:3] /shutdown 9
[1/1/2018 23:33:9] /shutdown stop
[1/1/2018 23:33:16] /shutdown 3
[1/1/2018 23:33:20] /shutdown 2
[1/1/2018 23:33:26] /shutdown stop
[1/1/2018 23:33:29] /shutdown 2
[1/1/2018 23:33:32] /shutdown stop
[1/1/2018 23:33:34] /shutdown 1
[1/1/2018 23:35:7] /shutdown 1
[1/1/2018 23:35:11] /shutdown stop
[1/1/2018 23:35:13] /shutdown 1
[1/1/2018 23:35:30] /shutdown
[18/1/2019 20:18:34] /light
[18/1/2019 20:26:20] /light
[18/1/2019 20:32:30] /light
[18/1/2019 20:33:54] /light
[18/1/2019 20:35:36] /light
